dealer_id,branch_id,code,name,state,district,city,pin_code,address_1,mobile_number,email
1,B001,S001,Balaji Sub-Dealer,Maharashtra,Nagpur,Nagpur,440001,Sitabuldi,8001001001,balaji@sub.com
1,B001,S002,Krishna Sub-Dealer,Maharashtra,Nagpur,Nagpur,440002,Dharampeth,8001001002,krishna@sub.com
2,B001,S003,Pune Sub-Unit,Maharashtra,Pune,Pune,411002,Kothrud,8001001003,pune_sub@sub.com
3,B002,S004,NCR Traders,Delhi,Gautam Buddh Nagar,Noida,201301,Sec 18,8001001004,ncr@sub.com
4,B003,S005,Garden City Auto,Karnataka,Bangalore Urban,Bangalore,560002,Indiranagar,8001001005,garden@sub.com
5,B004,S006,Kolkata Small Unit,West Bengal,Howrah,Howrah,711101,Station Road,8001001006,howrah@sub.com
6,B005,S007,Rajkot Local,Gujarat,Rajkot,Rajkot,360002,Ring Road,8001001007,rajkot@sub.com
7,B006,S008,Bhopal Sub-Agency,Madhya Pradesh,Bhopal,Bhopal,462002,New Market,8001001008,bhopal@sub.com
8,B007,S009,Sadar Sub-Motors,Maharashtra,Nagpur,Nagpur,440011,Mount Rd,8001001009,sadar@sub.com
9,B008,S010,Baner Sub-Services,Maharashtra,Pune,Pune,411046,Aundh,8001001010,baner_sub@sub.com
